matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8349680492,100,LOSE,693561,11.56,2,4,0,3,6,3,1,0,0
KR_8349680492,200,WIN,693561,11.56,6,3,0,1,7,3,2,3,2
KR_8349604332,100,LOSE,743738,12.4,2,1,0,4,9,1,0,2,0
KR_8349604332,200,WIN,743738,12.4,3,2,0,1,12,0,0,1,1
KR_8345760569,100,LOSE,761101,12.69,1,6,3,3,8,3,3,0,0
KR_8345760569,200,WIN,761101,12.69,6,4,0,3,8,6,0,3,2
KR_8355071433,100,LOSE,1053698,17.56,1,2,3,2,29,1,1,0,1
KR_8355071433,200,WIN,1053698,17.56,2,4,2,4,22,1,1,3,1
KR_8354437256,100,LOSE,880613,14.68,2,7,0,5,13,1,3,3,0
KR_8354437256,200,WIN,880613,14.68,6,1,6,2,48,5,0,0,1
KR_8354051368,100,LOSE,774991,12.92,5,2,0,0,13,3,1,2,0
KR_8354051368,200,WIN,774991,12.92,1,2,0,2,11,5,2,1,1
KR_8353996372,100,WIN,894793,14.91,3,1,2,1,15,0,3,0,0
KR_8353996372,200,LOSE,894793,14.91,3,2,2,1,55,2,1,3,1
KR_8353922904,100,LOSE,906917,15.12,2,5,3,5,15,2,2,0,2
KR_8353922904,200,WIN,906917,15.12,2,4,2,2,13,8,2,3,0
KR_8353691791,100,WIN,931554,15.53,0,1,2,3,52,1,1,2,1
KR_8353691791,200,LOSE,931554,15.53,1,2,2,1,19,1,3,1,1
KR_8352837783,100,LOSE,907088,15.12,1,1,0,0,13,1,0,3,0
KR_8352837783,200,WIN,907088,15.12,0,2,0,2,9,1,1,0,2
KR_8352794228,100,WIN,710373,11.84,6,2,0,2,16,4,1,1,0
KR_8352794228,200,LOSE,710373,11.84,1,5,1,5,11,3,0,2,0
KR_8352720388,100,LOSE,966141,16.1,3,3,4,3,15,1,3,2,0
